x1,x2,x3,x4,survived
80,58,13,41,1
76,97,39,23,1
92,91,48,11,0
40,76,54,12,0
94,16,22,94,0
34,1,83,50,0
90,3,29,65,0
71,53,18,75,1
23,14,21,44,0
50,67,0,59,1
1,11,59,43,1
12,88,87,19,1
12,42,9,62,0
71,60,13,90,0
86,82,48,14,0
55,60,98,28,1
44,24,29,68,0
50,21,79,21,0
10,49,4,30,0
75,96,84,38,1
30,40,71,25,0
6,26,1,92,1
32,89,90,54,1
54,22,77,67,1
21,30,37,20,1
78,80,81,55,1
94,9,87,16,0
39,30,24,65,0
4,28,24,70,1
27,66,69,28,1
59,70,24,26,0
3,0,98,18,0
49,44,57,31,1
70,76,57,2,1
18,80,69,58,1
70,87,19,56,0
81,7,16,64,0
31,45,95,56,1
62,23,88,31,0
39,59,5,77,1
95,0,89,57,1
47,56,56,29,1
94,57,79,68,1
64,86,83,48,0
78,68,56,4,1
0,53,31,89,1
91,32,51,58,1
3,22,70,22,0
2,27,42,8,1
5,74,6,81,0
89,68,49,19,0
58,44,22,0,0
1,40,58,35,0
15,38,46,31,1
80,52,89,79,0
76,2,41,81,0
81,38,49,74,0
67,13,40,99,0
23,5,43,79,1
38,58,35,95,1
56,94,74,2,1
57,47,56,49,1
10,31,55,10,1
95,42,69,54,1
19,95,98,67,1
77,4,63,81,1
59,83,41,92,1
32,3,26,33,0
62,92,95,58,0
92,11,33,16,1
29,11,31,23,1
19,27,57,80,0
3,32,95,72,1
99,34,74,37,0
91,31,20,83,1
92,17,23,11,1
53,22,12,34,1
10,38,92,51,0
7,14,49,50,1
2,14,90,19,0
40,74,64,88,0
71,33,38,10,0
66,88,7,93,1
46,52,13,56,0
11,23,56,34,1
30,76,39,25,0
7,48,91,0,0
2,70,11,68,0
66,33,54,2,0
34,98,79,65,0
95,54,28,64,1
23,22,42,30,1
71,28,48,5,0
95,66,16,71,0
49,89,61,72,1
92,47,75,60,1
59,77,75,21,0
92,77,83,84,1
54,41,9,46,1
63,90,41,71,1
99,48,23,38,1
41,23,32,7,1
24,82,40,54,0
30,28,68,27,0
18,41,11,19,0
74,38,43,95,1
78,46,35,53,0
68,70,68,25,1
99,79,81,94,0
55,85,59,60,1
92,68,45,65,0
60,20,74,47,1
69,47,36,62,0
57,96,2,39,1
96,61,99,50,0
60,76,97,12,1
84,55,60,53,0
89,49,38,96,1
25,45,53,3,1
99,52,44,53,0
72,20,51,13,0
9,31,3,72,0
92,61,19,57,0
96,58,39,77,0
0,35,87,44,1
33,58,16,35,1
63,46,20,33,1
27,51,93,9,1
71,60,33,87,1
89,82,65,77,0
12,65,49,1,1
57,14,40,37,1
38,89,99,9,0
61,36,53,9,1
10,26,3,73,0
43,4,76,55,1
88,54,30,46,1
66,86,30,58,1
52,88,16,97,0
49,11,3,93,0
12,76,45,17,0
55,95,86,49,0
73,13,24,43,0
58,40,69,47,0
62,2,56,8,0
54,11,26,37,0
27,19,98,98,1
37,38,5,40,1
95,37,25,41,1
38,12,35,61,1
34,44,39,45,0
49,63,88,14,1
90,30,37,82,0
57,55,18,80,0
9,72,33,66,0
35,80,61,12,1
92,85,14,19,0
46,55,48,28,1
88,40,51,23,0
84,21,99,94,0
30,85,63,22,1
32,28,44,11,1
76,31,49,59,0
24,88,71,68,1
93,39,23,40,1
30,19,34,6,0
83,42,20,58,0
14,8,95,71,1
29,37,96,15,1
24,44,34,51,0
81,73,23,92,0
58,36,18,31,1
93,94,77,88,1
76,14,97,11,0
35,88,88,85,1
35,59,43,0,0
22,40,27,36,1
72,34,29,71,1
69,66,6,94,1
32,42,4,63,1
64,36,2,31,1
82,69,32,99,1
57,19,43,19,0
83,39,4,2,0
71,4,25,21,0
50,41,77,25,0
30,93,65,45,0
10,56,22,9,1
64,61,25,16,1
23,64,99,83,1
15,98,99,67,0
14,87,39,36,1
1,70,21,70,0
27,7,10,12,1
86,52,14,32,1
54,23,29,22,1
61,89,21,89,0
23,38,69,19,1
54,13,82,95,0
80,10,60,2,0
63,46,84,48,0
42,42,71,78,1
99,83,56,28,0
90,31,7,27,1
65,13,49,46,1
86,64,28,64,1
1,25,43,81,0
64,83,58,28,1
85,42,27,27,1
65,2,47,88,0
4,68,47,99,1
16,48,97,78,1
32,67,92,34,1
44,73,27,69,1
18,87,0,58,1
58,99,42,86,1
29,8,43,33,0
9,40,3,61,1
30,33,92,7,0
5,32,62,55,1
22,95,81,84,0
22,69,9,26,1
5,20,57,63,1
32,6,65,58,1
43,28,17,1,1
85,67,50,22,0
83,80,42,28,1
18,94,50,28,0
37,70,42,98,0
25,39,68,78,1
92,62,29,82,1
50,93,6,55,0
72,49,5,40,0
56,84,72,54,0
58,68,97,55,1
50,15,90,85,1
43,41,80,72,1
38,36,3,81,0
66,9,19,82,0
23,17,64,38,0
22,73,58,82,0
66,43,23,34,0
84,64,84,22,1
80,11,20,30,1
16,66,39,57,0
18,50,47,79,1
54,24,41,33,1
87,78,23,4,1
58,82,5,0,1
29,68,85,6,0
36,0,74,55,0
4,18,14,30,0
12,15,99,50,1
27,24,21,44,0
99,70,45,29,1
80,34,81,6,1
32,52,11,20,0
13,7,16,58,0
75,22,72,51,0
12,70,78,82,0
57,68,88,66,1
8,95,54,99,1
79,93,75,58,0
42,33,48,65,0
13,3,19,38,0
89,23,98,14,1
65,18,4,44,1
39,95,57,96,0
36,2,97,8,1
93,92,9,18,1
2,45,70,35,0
72,22,7,90,1
48,42,61,19,1
59,51,36,62,0
55,84,70,69,0
91,27,52,38,1
62,43,22,10,0
40,18,64,11,0
8,29,43,17,1
75,40,62,70,1
30,94,95,26,0
61,29,8,13,1
5,20,5,93,0
56,75,85,82,0
23,83,95,31,0
74,81,43,5,0
35,51,51,63,1
61,91,26,95,1
62,25,61,79,1
96,88,20,97,0
91,90,75,39,1
61,87,53,67,1
25,40,43,20,0
56,6,60,30,0
11,64,65,72,0
55,42,94,47,0
82,4,84,20,0
58,81,16,81,1
19,30,9,94,1
60,35,83,91,0
1,86,16,47,0
36,57,1,38,1
30,78,11,49,0
76,55,12,70,1
56,28,48,64,1
19,55,55,83,0
12,35,4,42,0
23,67,34,97,0
18,24,73,86,0
60,95,32,18,1
93,21,19,64,1
40,59,76,28,0
12,41,34,65,1
20,38,65,12,1
41,24,57,31,0
57,51,56,15,1
98,5,48,48,0
29,15,32,31,0
70,80,85,55,0
47,57,83,25,0
66,17,34,77,0
63,90,2,9,1
41,90,64,76,1
68,7,50,31,1
81,52,20,88,0
64,41,5,0,1
4,43,3,89,1
60,76,46,68,1
45,5,46,47,0
62,64,60,38,1
78,63,54,43,1
18,68,49,98,1
95,35,83,60,1
54,3,12,47,0
38,29,30,13,1
35,78,45,27,0
20,10,39,42,0
44,72,27,17,0
47,91,95,74,1
27,21,64,86,1
15,22,21,48,0
6,97,78,23,1
42,64,78,65,1
16,9,96,81,1
35,94,65,80,1
60,7,86,27,1
66,10,83,78,1
89,56,56,15,1
32,59,75,51,1
18,94,85,85,1
67,35,50,3,1
90,45,78,27,1
85,79,56,95,0
14,17,81,80,1
10,72,3,55,0
33,53,94,87,0
70,53,77,20,1
38,99,21,49,1
29,84,41,2,1
17,53,1,53,0
77,1,89,18,1
24,95,32,55,0
70,86,31,18,0
49,25,4,67,1
12,3,32,72,0
75,95,41,66,1
23,64,31,93,1
44,89,87,85,0
85,77,81,67,0
42,97,3,67,0
62,79,4,51,1
33,69,54,90,0
35,18,9,60,0
82,98,20,85,1
49,27,65,36,1
20,37,67,45,1
56,96,16,14,0
39,50,91,52,1
46,3,19,21,0
73,89,98,38,0
30,73,52,47,1
8,88,88,93,1
76,45,48,24,1
88,17,79,50,1
78,0,29,40,1
96,77,54,17,1
85,53,96,96,0
2,92,31,15,1
82,80,52,31,0
43,43,6,21,0
17,63,99,99,0
23,60,30,81,0
41,6,16,74,0
19,71,88,75,1
46,33,33,3,1
85,6,12,86,0
31,72,69,49,1
5,46,68,38,0
51,4,72,66,0
25,5,48,56,0
53,57,7,3,0
2,68,99,33,0
10,29,20,22,0
11,61,34,38,1
28,43,55,77,0
87,10,41,25,1
99,99,61,63,0
33,30,74,96,0
26,86,13,10,0
1,93,54,65,1
93,27,9,43,0
80,88,97,2,0
39,69,54,23,0
16,64,40,46,0
2,5,25,63,1
74,79,83,60,1
63,4,21,68,0
15,92,20,9,1
95,35,45,61,1
73,23,19,19,1
89,17,82,44,1
33,37,27,36,0
67,92,99,98,1
15,78,60,76,1
89,65,4,80,0
48,76,3,53,1
21,12,14,32,0
91,64,51,31,0
82,42,80,95,0
40,82,8,77,1
34,66,83,88,1
88,10,26,40,1
35,25,6,11,0
29,52,95,43,0
83,19,42,91,1
87,85,57,74,0
85,64,27,55,0
31,93,15,63,0
74,34,50,44,0
36,87,27,20,1
61,3,90,73,0
27,14,75,76,1
50,19,64,67,0
50,10,64,91,0
16,66,70,4,0
21,82,88,67,0
39,46,51,80,1
27,47,12,33,0
8,56,16,23,0
93,64,38,67,1
13,71,17,72,1
29,17,68,93,0
32,14,0,41,0
59,69,84,12,0
4,74,87,1,1
97,32,94,99,0
52,46,76,6,0
79,92,2,61,1
19,94,16,40,0
5,16,75,62,1
38,71,20,42,0
35,36,50,46,0
28,23,59,10,0
84,64,73,55,1
37,16,62,92,0
57,38,80,7,1
40,23,50,79,1
90,94,41,96,0
68,10,22,63,1
23,22,11,83,1
53,16,71,28,1
17,42,38,50,1
36,79,86,67,1
82,95,74,26,1
44,12,93,54,0
47,72,49,4,1
88,77,17,86,0
39,48,82,18,1
12,24,14,70,0
49,68,85,24,1
19,9,53,78,1
65,8,94,17,1
90,10,13,12,1
30,8,30,8,0
5,39,36,58,0
75,26,13,26,0
64,77,30,68,1
6,39,38,14,1
50,37,5,40,0
23,25,58,92,0
25,11,6,53,0
5,32,8,25,0
91,88,34,16,1
51,23,85,15,1
37,45,23,73,1
27,31,68,56,1
62,37,43,76,0
64,53,38,35,0
75,83,4,49,1
71,61,98,70,1
43,84,21,91,1
97,60,24,95,1
28,25,54,29,0
70,15,45,35,1
51,35,91,80,1
69,84,48,6,0
96,63,23,85,0
70,41,99,0,0
92,96,39,47,0
20,61,71,19,1
67,64,74,35,0
97,42,98,30,0
75,96,25,38,0
8,89,19,30,1
44,64,39,78,1
17,51,90,12,0
0,70,27,1,1
49,79,60,85,1
35,66,78,54,1
69,11,28,88,1
36,57,89,71,1
64,41,0,63,1
98,75,47,83,1
4,2,99,64,1
91,19,89,91,0
93,0,5,93,1
54,76,84,54,1
71,75,59,48,0
51,12,52,19,1
15,49,46,81,0
89,37,39,22,0
96,95,19,24,1
83,41,52,70,1
62,19,54,42,1
77,81,70,52,1
18,99,30,84,0
55,25,41,54,0
94,19,56,85,0
64,9,94,3,0
6,56,28,23,1
33,82,6,48,0
86,90,88,44,1
91,67,8,20,0
48,17,95,19,0
78,18,4,24,1
37,22,63,81,0
55,88,71,58,0
89,68,63,2,0
74,57,98,47,1
29,13,19,40,1
47,43,22,94,0
45,20,54,11,1
24,23,76,56,1
9,63,32,94,0
22,6,67,35,0
15,45,36,17,1
83,7,38,4,1
43,7,60,96,0
94,26,54,34,0
72,10,93,99,1
49,59,41,17,0
51,33,58,12,0
21,55,39,46,1
2,62,66,38,1
85,81,54,83,1
84,3,75,60,0
18,56,6,14,1
71,21,99,50,1
88,55,82,92,1
91,77,16,4,1
86,7,74,73,1
90,52,51,42,0
65,42,68,0,0
27,95,59,12,1
49,63,3,75,1
20,14,73,40,0
65,65,90,21,0
4,5,96,46,0
8,20,40,57,1
60,81,9,31,0
56,26,87,77,0
85,83,11,81,1
32,59,74,99,0
43,22,18,28,1
24,18,69,71,1
12,4,24,31,1
64,72,29,18,1
37,76,46,82,0
13,20,16,60,1
55,43,81,50,0
32,95,24,21,0
54,31,47,93,0
18,31,8,16,1
66,66,48,73,0
98,64,1,33,0
27,98,43,16,0
50,14,16,89,1
73,67,66,42,1
58,81,41,43,0
56,67,72,13,0
88,32,50,89,0
90,49,29,47,1
25,62,8,86,1
57,33,68,64,0
2,4,97,16,1
34,49,62,39,0
93,66,81,72,0
73,32,33,24,1
18,57,10,76,1
20,54,64,31,0
67,3,97,70,0
98,87,11,92,0
12,91,44,0,1
33,95,34,2,1
59,42,23,29,0
72,95,16,92,0
34,99,54,61,0
35,99,34,2,1
64,26,68,93,1
96,62,45,58,0
65,27,35,80,1
0,41,46,85,1
79,16,53,33,1
47,64,92,62,0
6,83,95,17,1
63,40,92,99,1
86,32,54,52,1
5,18,19,5,1
79,94,27,61,1
55,92,89,47,0
76,25,31,19,1
37,34,10,10,1
0,21,72,44,1
24,56,54,80,0
52,41,64,37,0
95,52,63,48,1
4,93,7,12,1
73,77,35,43,0
3,78,53,23,0
37,2,32,35,0
35,4,51,27,0
72,36,60,85,1
96,14,22,67,0
22,96,69,24,0
75,40,27,54,1
46,18,71,12,0
79,5,90,72,0
30,29,32,73,0
9,68,14,84,0
72,52,59,18,0
96,60,27,53,1
98,66,40,83,1
33,30,98,80,1
6,69,89,72,1
48,23,27,56,1
83,46,77,33,0
49,27,84,88,0
70,36,50,82,0
91,27,57,8,0
84,83,38,19,1
23,73,9,68,1
2,96,3,50,1
41,59,54,91,1
0,49,89,61,1
34,92,65,87,1
44,55,38,8,1
28,78,52,64,0
62,2,83,21,0
11,61,87,12,1
57,0,56,59,0
35,22,7,6,1
85,69,83,91,1
28,62,54,44,1
40,45,9,82,1
34,86,39,63,0
63,72,42,91,1
5,73,46,33,1
54,85,16,99,0
92,27,34,75,1
91,5,0,24,0
38,41,64,27,1
75,14,58,54,0
52,65,64,65,1
26,54,95,47,1
77,15,2,79,0
36,25,33,22,0
27,13,61,19,1
91,3,71,5,0
13,14,49,34,0
97,28,21,79,0
41,89,11,23,0
54,58,80,68,1
83,10,6,73,0
28,74,17,22,1
80,99,15,17,0
8,51,62,42,0
78,66,80,21,1
51,49,82,0,1
19,64,30,44,1
83,69,30,28,1
84,68,71,54,0
22,49,85,75,1
68,36,40,51,1
43,50,9,65,1
93,27,21,62,1
73,70,11,83,0
57,0,70,91,0
87,25,98,24,0
92,63,19,31,0
4,49,91,21,1
16,20,18,95,1
39,9,44,38,0
44,35,49,62,1
65,63,88,96,1
79,27,16,52,1
13,24,82,36,0
27,33,50,44,0
67,26,9,85,1
95,98,43,27,0
51,50,28,91,1
6,21,73,63,1
82,82,35,12,0
62,81,87,49,1
96,1,46,40,0
80,26,32,13,1
69,10,92,43,0
65,51,15,22,0
12,15,98,45,0
94,84,95,84,1
32,97,87,22,1
99,43,35,28,1
53,59,48,63,1
72,29,40,23,1
49,86,94,58,0
19,12,56,72,1
71,82,51,20,0
45,97,66,48,1
8,73,15,46,1
67,25,58,52,0
34,36,56,27,0
54,85,73,38,1
22,50,35,31,0
28,43,39,31,1
46,88,44,5,0
81,98,2,13,1
79,29,73,44,0
99,55,59,60,1
72,64,57,73,1
66,2,2,32,0
24,68,87,84,0
38,55,20,2,0
21,38,24,32,1
69,23,55,17,0
64,39,36,48,0
22,85,75,77,0
63,69,19,45,1
34,88,98,90,1
11,17,55,57,1
95,93,22,75,1
49,53,96,68,0
84,82,39,60,1
44,26,95,88,1
44,84,78,47,0
87,17,23,22,0
71,62,22,25,1
17,91,34,47,0
79,73,56,60,0
66,9,8,70,1
23,73,24,48,1
3,34,16,93,1
34,80,29,46,0
13,56,94,36,1
75,16,57,81,0
89,52,50,33,1
66,88,90,3,0
57,34,33,40,0
37,28,53,52,0
18,97,92,23,0
92,51,93,79,1
57,74,40,5,1
54,50,64,87,0
36,41,47,65,0
25,66,96,43,1
24,20,80,45,1
73,46,52,57,1
98,45,88,21,1
68,44,55,22,0
86,97,44,80,1
87,78,50,82,1
89,75,67,59,0
98,20,57,17,0
60,23,19,81,1
23,30,69,25,0
62,81,97,83,0
3,17,95,45,0
50,41,9,29,1
86,60,88,83,0
68,66,87,73,0
10,63,42,36,1
8,76,92,45,1
12,47,41,71,0
83,94,81,32,0
33,14,54,74,0
95,74,42,77,0
94,15,3,34,0
58,35,28,99,1
46,34,42,75,1
28,10,39,89,0
78,31,92,20,0
67,86,21,41,0
72,43,2,50,0
30,98,36,66,1
72,59,2,92,1
97,89,45,9,1
19,65,65,81,0
35,33,96,33,1
73,38,38,5,1
32,86,83,42,1
65,91,83,42,1
23,89,71,15,0
47,18,13,35,1
32,50,83,14,0
81,25,13,58,0
28,86,62,40,0
73,88,41,9,0
79,58,48,53,1
7,12,75,60,0
71,83,57,60,0
85,61,81,28,0
24,22,64,9,1
76,84,10,16,1
81,44,35,96,1
34,49,1,98,1
14,76,43,50,0
37,57,98,97,1
82,21,88,21,0
99,86,28,73,1
94,59,53,67,0
14,69,65,13,0
40,3,23,51,0
72,66,54,86,1
10,65,58,35,0
64,68,2,25,0
87,35,4,34,0
7,3,30,94,1
29,24,51,61,1
26,22,49,7,0
24,29,93,39,0
17,93,55,90,1
75,21,17,41,1
50,98,74,94,0
83,85,85,51,0
47,9,91,38,1
8,71,17,66,0
14,10,23,50,0
25,38,2,7,1
60,23,25,24,1
70,39,25,22,0
29,70,79,47,1
14,92,70,54,0
90,84,35,57,1
68,81,46,30,0
48,56,90,50,0
95,0,60,13,0
84,38,20,80,1
16,11,8,0,1
8,12,62,78,1
40,27,14,16,1
44,0,21,59,0
69,67,58,23,0
43,9,11,8,1
53,91,55,25,0
28,80,58,29,0
3,34,70,28,0
93,46,2,61,0
5,35,39,90,0
54,2,68,62,1
50,19,0,23,1
99,86,9,40,1
45,12,58,17,0
14,1,12,34,0
24,60,84,71,1
37,83,71,26,0
79,28,88,38,0
78,50,77,23,0
78,83,6,67,1
63,98,74,99,0
89,59,7,37,1
1,31,93,66,0
59,46,2,21,1
96,64,11,49,0
50,96,76,56,1
17,95,21,16,0
58,23,25,91,1
19,23,31,87,1
19,5,57,91,0
27,99,44,16,1
74,22,44,20,1
54,81,33,45,0
10,81,30,21,0
32,19,27,21,0
15,55,94,22,0
50,24,11,99,0
45,46,80,62,0
27,83,77,80,0
25,88,63,31,1
40,35,82,60,1
80,58,83,9,1
80,76,5,10,1
34,43,54,56,1
26,99,21,72,1
79,61,72,79,1
65,77,72,22,1
83,49,97,67,1
49,41,45,53,0
19,39,55,68,1
35,26,28,72,1
61,36,3,81,1
24,65,67,93,1
93,26,37,8,0
68,2,0,98,1
12,91,47,86,1
68,61,6,76,0
72,32,90,85,0
47,38,40,82,1
70,59,36,43,0
79,33,99,45,0
65,21,61,94,0
43,93,59,85,1
36,72,86,26,1
37,14,31,96,0
78,73,27,46,1
3,66,30,68,1
60,19,34,3,1
30,50,80,99,1
55,31,92,2,1
4,45,23,41,0
4,92,83,82,0
48,2,39,27,0
7,88,24,59,0
50,89,96,76,1
76,15,24,18,0
14,30,73,10,0
36,8,6,73,0
87,78,2,88,0
44,63,5,53,1
89,69,90,66,0
44,75,99,82,1
20,23,31,27,0
39,10,64,54,0
76,67,47,82,1
83,27,8,98,0
11,83,63,38,0
42,62,57,43,0
98,73,79,41,1
53,26,0,88,0
86,43,54,52,1
10,58,8,9,1
44,88,39,5,1
44,70,51,80,0
43,28,92,31,1
70,74,32,12,1
33,46,99,30,0
63,60,36,43,0
52,15,39,95,1
95,70,80,52,1
88,42,65,42,0
7,9,93,42,0
80,7,30,79,1
44,97,48,30,0
60,71,53,70,0
60,86,41,77,0
65,6,35,67,0
21,50,39,37,1
85,9,16,65,0
80,4,65,39,1
54,17,77,19,1
12,45,42,85,0
91,36,83,94,1
70,25,19,22,1
30,94,24,11,0
44,49,86,0,1
46,77,60,66,1
0,29,8,3,0
81,0,64,32,0
85,67,44,65,0
54,77,42,67,0
5,99,78,54,0
33,9,46,58,0
53,86,31,36,0
50,52,14,31,1
2,76,99,5,0
87,6,57,10,0
2,85,99,7,0
34,9,83,49,0
1,38,13,13,0
5,20,85,91,0
34,79,28,51,1
0,86,39,88,0
92,31,30,7,0
32,8,67,27,0
67,18,66,97,1
86,53,20,80,0
72,22,88,48,0
16,84,89,79,1
68,45,4,26,1
96,46,51,3,1
48,18,8,98,1
68,3,38,59,0
90,47,75,97,0
52,69,27,19,1
35,92,30,36,0
65,60,14,0,1
60,14,13,4,1
9,28,20,81,1
23,31,90,25,0
12,84,37,81,0
81,16,19,29,0
84,99,51,27,0
48,18,39,87,1
70,11,56,28,0
61,75,16,8,1
84,58,57,71,1
92,42,14,34,1
59,18,90,83,1
93,15,42,79,1
25,83,80,97,1
31,48,51,87,0
29,22,71,50,0
13,11,52,69,1
19,71,27,5,0
79,29,8,11,1
54,25,36,46,0
46,45,24,5,0
79,74,13,95,1
9,56,98,82,1
20,69,43,30,1
11,60,70,13,0
74,86,28,96,0
5,72,15,63,1
79,41,37,28,0
44,83,73,47,1
26,25,52,12,0
91,17,5,36,0
83,24,33,6,1
18,67,91,30,0
62,62,88,63,0
78,59,1,17,0
88,71,86,29,0
49,97,73,70,0
62,97,78,69,1
99,44,90,87,1
15,78,97,12,0
65,14,93,62,1
31,69,41,69,1
68,36,1,9,1
45,33,89,58,1
59,56,63,75,1
78,4,89,23,1
59,82,71,43,1
59,49,77,64,1
60,21,17,54,0
40,55,35,86,1
41,61,94,44,0
51,38,57,97,1
57,86,72,73,0
31,67,87,73,1
52,0,24,10,1
35,8,28,15,0
79,94,21,77,1
71,89,3,63,0
14,83,6,88,1
7,33,48,19,1
16,34,23,57,1
13,93,45,47,1
1,0,20,90,1
57,6,32,22,0
88,88,94,16,1
95,63,71,77,1
97,13,59,48,0
72,68,86,34,1
16,57,78,24,0
54,2,39,54,0
52,65,52,47,0
34,99,86,95,1
4,81,40,92,1
77,93,65,66,1
84,55,80,94,1
34,65,8,10,1
78,13,73,58,0
56,91,41,68,0
39,87,0,98,1
44,58,24,12,1
69,29,79,98,1
78,45,68,90,0
96,11,87,44,1
83,80,80,68,0
19,76,44,58,0
93,81,87,42,1
40,0,19,55,0
31,28,59,62,0
96,74,65,14,0
83,19,15,40,1
44,43,99,65,0
65,21,1,58,0
81,60,4,27,1
93,69,25,8,0
44,92,45,0,1
11,1,89,63,1
86,26,84,85,1
49,30,45,44,1
69,6,32,22,0
90,95,78,45,0
90,42,70,21,0
46,10,17,66,0
89,6,0,59,0
26,59,63,31,1
41,15,95,68,0
22,54,55,55,0
68,91,82,73,0
5,98,40,46,1
52,8,73,32,1
75,20,34,57,1
58,67,8,38,1
83,91,55,53,0
91,8,55,18,0
70,87,67,16,0
82,91,49,32,1
53,21,83,92,0
0,25,85,85,0
15,40,65,32,1
49,93,87,8,1
19,67,30,17,1
63,72,42,56,0
92,93,54,77,1
40,4,86,6,1
27,37,54,19,0
69,88,37,36,0
6,48,34,62,0
96,91,96,29,0
74,56,30,72,1
